id,dataset,subset_size,train_test ratio,aligned,unaligned_ratio,num_clients,embedding_size,mixup_strategy,epochs,batch_size,best_mse,train_test_ratio,best_rmse
5,california_housing,20000,,False,0.8,2,8,mean_mixup,100,64,0.27226436,0.8,0.52178955
6,wine,20000,,False,0.8,2,8,mean_mixup,100,64,0.029089952,0.8,0.17055777
7,wine,200000,,False,0.8,2,8,mean_mixup,100,64,0.029089952,0.8,0.17055777
8,wine,200,,False,0.8,2,8,mean_mixup,100,64,0.029089952,0.8,0.17055777
9,wine,100,,False,0.8,2,8,mean_mixup,100,64,0.015936075,0.8,0.12623817
10,wine,100,,False,0.8,2,8,mean_mixup,100,4,0.0074045705,0.8,0.08604982
11,wine,100,,False,0.8,2,8,mean_mixup,100,4,0.0085805515,0.8,0.092631266
12,wine,100,,False,0.8,2,8,mean_mixup,100,4,0.01080398,0.8,0.10394219
13,california_housing,100,,False,0.8,2,8,mean_mixup,100,4,0.16825885,0.8,0.41019368
14,california_housing,1000,,False,0.8,2,8,mean_mixup,100,4,0.20228843,0.8,0.44976488
15,california_housing,500,,True,0.0,2,8,mean_mixup,100,4,0.14676598,0.8,0.38310048
16,california_housing,200,,True,0.0,2,8,mean_mixup,100,4,0.12393286,0.8,0.352041
17,california_housing,200,,False,0.8,2,8,mean_mixup,100,4,0.1430062,0.8,0.3781616
